Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
RobotBattleLearningBrain,4.605,6248.547,9.401,32466,0.133
RobotBattleLearningBrain,4.508,6263.069,9.328,32524,0.133
RobotBattleLearningBrain,4.612,6277.824,9.437,32490,0.133
RobotBattleLearningBrain,4.480,6292.232,9.233,32560,0.133
RobotBattleLearningBrain,4.518,6306.480,9.051,32486,0.133
RobotBattleLearningBrain,4.517,6320.851,9.159,32392,0.133
RobotBattleLearningBrain,4.508,6335.114,9.073,32526,0.133
RobotBattleLearningBrain,4.508,6349.439,9.129,32524,0.133
RobotBattleLearningBrain,4.486,6363.770,9.160,32520,0.133
RobotBattleLearningBrain,4.474,6378.025,9.091,32452,0.133
RobotBattleLearningBrain,4.507,6392.366,9.143,32524,0.133
RobotBattleLearningBrain,4.540,6406.703,9.110,32524,0.133
RobotBattleLearningBrain,6.639,6425.523,11.279,32430,0.133
RobotBattleLearningBrain,4.721,6445.805,14.290,32526,0.133
RobotBattleLearningBrain,5.100,6462.856,11.053,32452,0.133
RobotBattleLearningBrain,4.439,6480.084,12.073,32430,0.133
RobotBattleLearningBrain,4.483,6494.520,9.253,32548,0.133
RobotBattleLearningBrain,4.552,6508.887,9.138,32468,0.133
RobotBattleLearningBrain,4.499,6523.157,9.092,32562,0.133
RobotBattleLearningBrain,4.564,6537.418,9.016,32454,0.133
RobotBattleLearningBrain,4.521,6551.757,9.127,32526,0.133
RobotBattleLearningBrain,4.915,6566.583,9.226,32520,0.133
RobotBattleLearningBrain,4.532,6581.738,9.938,32394,0.133
RobotBattleLearningBrain,4.471,6596.130,9.237,32526,0.132
RobotBattleLearningBrain,4.862,6610.742,9.065,32522,0.132
RobotBattleLearningBrain,4.371,6625.017,9.216,32394,0.132
RobotBattleLearningBrain,4.441,6639.276,9.139,32584,0.133
RobotBattleLearningBrain,4.468,6653.657,9.230,32510,0.133
RobotBattleLearningBrain,4.485,6667.945,9.125,32440,0.132
RobotBattleLearningBrain,4.566,6682.314,9.118,32524,0.132
RobotBattleLearningBrain,4.487,6696.699,9.197,32396,0.132
RobotBattleLearningBrain,6.469,6712.982,9.138,32524,0.132
RobotBattleLearningBrain,4.546,6727.631,9.403,32524,0.132
RobotBattleLearningBrain,4.456,6741.952,9.182,32492,0.132
RobotBattleLearningBrain,4.522,6756.214,9.065,32524,0.132
RobotBattleLearningBrain,4.546,6770.693,9.241,32394,0.132
RobotBattleLearningBrain,4.467,6785.743,9.885,32526,0.132
RobotBattleLearningBrain,4.441,6800.043,9.172,32524,0.132
RobotBattleLearningBrain,4.450,6814.303,9.134,32526,0.132
RobotBattleLearningBrain,5.371,6829.450,9.097,32488,0.132
RobotBattleLearningBrain,4.527,6843.875,9.212,32394,0.132
RobotBattleLearningBrain,4.563,6858.352,9.220,32526,0.132
RobotBattleLearningBrain,4.438,6872.745,9.242,32524,0.132
RobotBattleLearningBrain,4.446,6886.964,9.086,32526,0.132
RobotBattleLearningBrain,4.514,6901.215,9.050,32452,0.132
RobotBattleLearningBrain,4.518,6915.590,9.156,32526,0.132
RobotBattleLearningBrain,4.550,6929.955,9.134,32524,0.132
RobotBattleLearningBrain,4.458,6944.125,9.037,32396,0.132
RobotBattleLearningBrain,4.472,6958.349,9.074,32526,0.132
RobotBattleLearningBrain,4.497,6972.486,8.965,32524,0.132
RobotBattleLearningBrain,4.473,6986.742,9.101,32396,0.132
RobotBattleLearningBrain,4.473,7001.861,9.882,32524,0.132
RobotBattleLearningBrain,4.424,7016.394,9.409,32524,0.132
RobotBattleLearningBrain,4.551,7030.802,9.164,32524,0.132
RobotBattleLearningBrain,4.487,7045.001,9.031,32484,0.132
RobotBattleLearningBrain,6.329,7061.261,9.232,32390,0.132
RobotBattleLearningBrain,6.509,7082.069,13.225,32616,0.132
RobotBattleLearningBrain,5.464,7099.729,11.301,32394,0.132
RobotBattleLearningBrain,6.265,7121.729,14.469,32558,0.132
RobotBattleLearningBrain,5.083,7137.974,10.331,32454,0.132
RobotBattleLearningBrain,5.145,7154.020,10.108,32524,0.132
RobotBattleLearningBrain,4.983,7170.636,10.857,32522,0.132
RobotBattleLearningBrain,4.992,7186.475,10.072,32394,0.132
RobotBattleLearningBrain,5.017,7202.185,9.927,32524,0.132
RobotBattleLearningBrain,5.036,7217.994,9.991,32524,0.132
RobotBattleLearningBrain,5.019,7233.791,10.010,32394,0.132
RobotBattleLearningBrain,5.092,7249.789,10.125,32526,0.132
RobotBattleLearningBrain,5.057,7265.640,10.015,32520,0.132
RobotBattleLearningBrain,5.066,7281.475,9.998,32526,0.132
RobotBattleLearningBrain,4.966,7297.013,9.805,32454,0.132
RobotBattleLearningBrain,5.020,7312.789,9.973,32524,0.132
RobotBattleLearningBrain,4.995,7329.016,10.429,32524,0.132
RobotBattleLearningBrain,5.020,7345.260,10.448,32430,0.132
RobotBattleLearningBrain,5.150,7361.333,10.124,32488,0.132
RobotBattleLearningBrain,4.941,7376.834,9.792,32520,0.132
RobotBattleLearningBrain,5.095,7392.579,9.882,32394,0.131
RobotBattleLearningBrain,5.072,7408.602,9.995,32572,0.131
RobotBattleLearningBrain,5.067,7424.124,9.912,32500,0.131
RobotBattleLearningBrain,5.116,7439.936,9.999,32484,0.132
RobotBattleLearningBrain,5.086,7455.778,9.991,32524,0.132
RobotBattleLearningBrain,5.108,7471.632,9.978,32396,0.132
RobotBattleLearningBrain,5.008,7487.531,10.115,32512,0.132
RobotBattleLearningBrain,5.043,7503.277,9.936,32544,0.132
RobotBattleLearningBrain,5.025,7519.026,9.950,32526,0.132
RobotBattleLearningBrain,5.017,7534.662,9.853,32454,0.132
RobotBattleLearningBrain,5.032,7550.489,10.010,32526,0.132
RobotBattleLearningBrain,5.084,7566.404,10.049,32522,0.132
RobotBattleLearningBrain,5.041,7582.113,9.900,32394,0.132
RobotBattleLearningBrain,5.149,7597.982,9.955,32558,0.132
RobotBattleLearningBrain,5.053,7613.643,9.832,32454,0.132
RobotBattleLearningBrain,5.059,7630.367,10.895,32526,0.132
RobotBattleLearningBrain,5.126,7646.320,10.060,32524,0.132
RobotBattleLearningBrain,5.112,7662.137,9.946,32394,0.132
RobotBattleLearningBrain,5.066,7677.817,9.858,32524,0.132
RobotBattleLearningBrain,5.109,7693.478,9.787,32454,0.132
RobotBattleLearningBrain,5.047,7709.235,9.948,32562,0.132
RobotBattleLearningBrain,5.094,7724.958,9.864,32520,0.132
RobotBattleLearningBrain,5.085,7740.745,9.932,32396,0.132
RobotBattleLearningBrain,5.034,7756.559,9.999,32526,0.132
RobotBattleLearningBrain,5.125,7772.828,10.361,32524,0.132
RobotBattleLearningBrain,5.017,7788.949,10.298,32396,0.132
RobotBattleLearningBrain,5.107,7804.894,10.054,32520,0.132
RobotBattleLearningBrain,5.045,7820.809,10.078,32522,0.132
RobotBattleLearningBrain,5.187,7836.894,10.100,32524,0.132
RobotBattleLearningBrain,5.052,7852.618,9.898,32488,0.132
RobotBattleLearningBrain,5.211,7868.669,10.062,32490,0.132
RobotBattleLearningBrain,5.091,7884.459,9.928,32428,0.132
RobotBattleLearningBrain,5.017,7900.267,10.017,32554,0.132
RobotBattleLearningBrain,5.002,7916.733,10.684,32458,0.132
RobotBattleLearningBrain,7.054,7934.546,9.988,32524,0.132
RobotBattleLearningBrain,5.042,7950.506,10.141,32394,0.132
RobotBattleLearningBrain,4.984,7966.589,10.326,32526,0.132
RobotBattleLearningBrain,5.071,7982.564,10.115,32524,0.132
RobotBattleLearningBrain,5.131,7998.464,9.988,32454,0.132
RobotBattleLearningBrain,5.068,8014.212,9.905,32560,0.132
RobotBattleLearningBrain,5.017,8030.100,10.098,32490,0.132
RobotBattleLearningBrain,5.009,8045.756,9.881,32430,0.132
RobotBattleLearningBrain,5.092,8061.644,10.016,32488,0.132
RobotBattleLearningBrain,5.022,8077.569,10.113,32558,0.132
RobotBattleLearningBrain,5.871,8093.966,9.755,32484,0.132
RobotBattleLearningBrain,4.997,8110.501,10.686,32486,0.132
RobotBattleLearningBrain,4.959,8126.268,10.019,32524,0.132
RobotBattleLearningBrain,6.184,8145.003,11.582,32392,0.132
RobotBattleLearningBrain,5.261,8162.781,11.607,32554,0.131
RobotBattleLearningBrain,7.404,8182.374,11.245,32484,0.131
RobotBattleLearningBrain,4.444,8196.808,9.299,32394,0.131
RobotBattleLearningBrain,4.474,8211.105,9.140,32524,0.131
RobotBattleLearningBrain,4.422,8225.299,9.092,32520,0.131
RobotBattleLearningBrain,4.462,8239.546,9.108,32526,0.131
RobotBattleLearningBrain,4.496,8253.834,9.106,32454,0.131
RobotBattleLearningBrain,4.457,8268.087,9.121,32526,0.131
RobotBattleLearningBrain,4.737,8282.867,9.351,32524,0.131
RobotBattleLearningBrain,5.216,8299.733,10.953,32428,0.131
RobotBattleLearningBrain,4.910,8316.813,11.292,32490,0.131
RobotBattleLearningBrain,5.651,8335.063,11.664,32522,0.131
RobotBattleLearningBrain,4.491,8350.296,9.978,32388,0.131
RobotBattleLearningBrain,4.489,8364.682,9.200,32616,0.131
RobotBattleLearningBrain,4.422,8378.944,9.148,32428,0.131
RobotBattleLearningBrain,4.521,8393.447,9.286,32522,0.131
RobotBattleLearningBrain,4.447,8407.575,9.009,32452,0.131
RobotBattleLearningBrain,4.475,8421.862,9.132,32432,0.131
RobotBattleLearningBrain,4.536,8436.265,9.177,32618,0.131
RobotBattleLearningBrain,4.472,8450.604,9.177,32394,0.131
RobotBattleLearningBrain,4.499,8465.626,9.847,32524,0.131
RobotBattleLearningBrain,4.516,8479.876,9.057,32490,0.131
RobotBattleLearningBrain,4.501,8494.147,9.095,32526,0.131
RobotBattleLearningBrain,4.501,8508.453,9.125,32522,0.131
RobotBattleLearningBrain,4.449,8522.680,9.100,32396,0.131
RobotBattleLearningBrain,4.497,8536.998,9.139,32526,0.131
RobotBattleLearningBrain,4.464,8551.179,9.040,32522,0.131
RobotBattleLearningBrain,4.503,8565.542,9.171,32392,0.131
RobotBattleLearningBrain,4.458,8579.839,9.148,32526,0.131
RobotBattleLearningBrain,4.496,8594.146,9.131,32524,0.131
RobotBattleLearningBrain,4.535,8608.705,9.148,32524,0.131
RobotBattleLearningBrain,4.602,8623.735,9.751,32488,0.131
RobotBattleLearningBrain,4.492,8637.976,9.077,32394,0.131
RobotBattleLearningBrain,4.467,8652.270,9.143,32524,0.131
RobotBattleLearningBrain,4.464,8666.501,9.095,32520,0.131
RobotBattleLearningBrain,4.508,8680.744,9.063,32522,0.131
RobotBattleLearningBrain,4.524,8695.046,9.096,32452,0.131
RobotBattleLearningBrain,4.425,8709.212,9.068,32526,0.131
RobotBattleLearningBrain,4.447,8723.406,9.072,32516,0.131
RobotBattleLearningBrain,4.505,8737.675,9.091,32396,0.131
RobotBattleLearningBrain,4.464,8752.030,9.190,32524,0.131
RobotBattleLearningBrain,4.489,8766.204,9.012,32520,0.131
RobotBattleLearningBrain,4.414,8783.068,11.744,32396,0.131
RobotBattleLearningBrain,4.452,8797.257,9.063,32526,0.131
RobotBattleLearningBrain,4.431,8811.509,9.135,32490,0.131
RobotBattleLearningBrain,4.487,8825.793,9.117,32558,0.131
RobotBattleLearningBrain,4.498,8840.056,9.085,32452,0.131
RobotBattleLearningBrain,4.594,8854.447,9.124,32428,0.131
RobotBattleLearningBrain,4.522,8868.850,9.200,32614,0.131
RobotBattleLearningBrain,4.394,8882.975,9.056,32394,0.130
RobotBattleLearningBrain,4.458,8897.209,9.096,32524,0.130
RobotBattleLearningBrain,4.472,8911.376,9.021,32524,0.130
RobotBattleLearningBrain,4.402,8925.937,9.452,32392,0.130
RobotBattleLearningBrain,6.018,8943.597,10.966,32524,0.130
RobotBattleLearningBrain,4.986,8962.613,13.030,32524,0.130
RobotBattleLearningBrain,5.722,8979.160,10.040,32526,0.130
RobotBattleLearningBrain,4.469,8994.236,9.856,32454,0.130
RobotBattleLearningBrain,4.731,9008.802,9.152,32524,0.130
RobotBattleLearningBrain,4.984,9027.822,12.961,32520,0.130
RobotBattleLearningBrain,4.502,9042.220,9.205,32430,0.130
RobotBattleLearningBrain,4.428,9056.475,9.142,32488,0.130
RobotBattleLearningBrain,4.492,9070.736,9.072,32518,0.130
RobotBattleLearningBrain,4.436,9084.971,9.124,32394,0.130
RobotBattleLearningBrain,4.487,9099.167,9.037,32522,0.130
RobotBattleLearningBrain,4.590,9113.534,9.100,32522,0.130
RobotBattleLearningBrain,4.467,9127.737,9.061,32524,0.130
RobotBattleLearningBrain,4.516,9142.134,9.183,32450,0.130
RobotBattleLearningBrain,6.072,9157.995,9.112,32526,0.130
RobotBattleLearningBrain,5.391,9178.019,13.486,32524,0.130
RobotBattleLearningBrain,6.326,9195.832,10.697,32428,0.130
RobotBattleLearningBrain,4.465,9210.201,9.211,32490,0.130
RobotBattleLearningBrain,4.508,9224.498,9.102,32524,0.130
RobotBattleLearningBrain,4.527,9238.790,9.084,32394,0.130
RobotBattleLearningBrain,4.444,9253.026,9.108,32526,0.130
RobotBattleLearningBrain,4.447,9267.261,9.100,32486,0.130
RobotBattleLearningBrain,6.603,9289.304,14.264,32560,0.130
RobotBattleLearningBrain,7.769,9315.354,16.800,32450,0.129
RobotBattleLearningBrain,6.552,9336.063,13.140,32428,0.129
RobotBattleLearningBrain,8.672,9357.943,12.229,32616,0.129
RobotBattleLearningBrain,4.888,9376.231,12.409,32488,0.129
RobotBattleLearningBrain,4.925,9395.774,13.637,32490,0.129
RobotBattleLearningBrain,4.912,9411.200,9.749,32432,0.129
RobotBattleLearningBrain,5.255,9427.257,10.050,32438,0.129
RobotBattleLearningBrain,5.725,9443.783,10.052,32514,0.129
RobotBattleLearningBrain,5.201,9463.348,13.262,32520,0.129
RobotBattleLearningBrain,6.825,9484.958,13.716,32488,0.129
RobotBattleLearningBrain,4.526,9501.426,11.099,32486,0.129
RobotBattleLearningBrain,4.859,9518.957,11.913,32428,0.129
RobotBattleLearningBrain,4.789,9534.610,10.099,32614,0.128
RobotBattleLearningBrain,4.831,9550.256,10.036,32392,0.128
RobotBattleLearningBrain,4.830,9565.802,9.960,32524,0.128
RobotBattleLearningBrain,4.780,9581.352,10.011,32524,0.128
RobotBattleLearningBrain,4.840,9596.822,9.896,32394,0.128
RobotBattleLearningBrain,5.014,9612.577,9.984,32524,0.128
RobotBattleLearningBrain,4.842,9628.026,9.864,32488,0.128
RobotBattleLearningBrain,4.890,9643.569,9.912,32522,0.128
RobotBattleLearningBrain,4.896,9659.115,9.901,32490,0.128
RobotBattleLearningBrain,4.990,9675.344,10.481,32524,0.128
RobotBattleLearningBrain,4.908,9690.850,9.857,32522,0.128
RobotBattleLearningBrain,4.848,9706.481,10.027,32396,0.128
RobotBattleLearningBrain,4.892,9721.917,9.803,32526,0.128
RobotBattleLearningBrain,4.855,9737.270,9.753,32524,0.128
RobotBattleLearningBrain,4.855,9752.951,10.073,32396,0.128
RobotBattleLearningBrain,4.819,9768.383,9.872,32524,0.127
RobotBattleLearningBrain,6.178,9787.428,11.938,32524,0.127
RobotBattleLearningBrain,4.922,9803.057,9.948,32524,0.127
RobotBattleLearningBrain,4.936,9818.897,10.131,32488,0.127
RobotBattleLearningBrain,4.892,9834.765,10.020,32490,0.127
RobotBattleLearningBrain,4.900,9850.346,9.925,32430,0.127
RobotBattleLearningBrain,4.855,9865.933,9.984,32524,0.127
RobotBattleLearningBrain,4.873,9881.752,10.183,32494,0.127
RobotBattleLearningBrain,4.542,9896.841,9.822,32524,0.127
RobotBattleLearningBrain,4.774,9912.600,10.232,32396,0.127
RobotBattleLearningBrain,4.843,9928.192,9.991,32620,0.127
RobotBattleLearningBrain,4.920,9943.810,9.954,32396,0.127
RobotBattleLearningBrain,4.837,9959.255,9.859,32526,0.127
RobotBattleLearningBrain,4.919,9974.662,9.733,32524,0.127
RobotBattleLearningBrain,4.814,9989.981,9.752,32396,0.127
RobotBattleLearningBrain,4.888,10005.376,9.752,32526,0.127
RobotBattleLearningBrain,4.848,10020.884,9.916,32524,0.127
RobotBattleLearningBrain,5.639,10037.516,10.201,32526,0.127
RobotBattleLearningBrain,7.996,10056.287,9.990,32452,0.127
RobotBattleLearningBrain,5.144,10074.351,11.884,32524,0.127
RobotBattleLearningBrain,4.790,10089.609,9.717,32522,0.127
RobotBattleLearningBrain,5.159,10105.082,9.579,32394,0.127
RobotBattleLearningBrain,4.593,10121.022,10.511,32564,0.127
RobotBattleLearningBrain,4.531,10135.525,9.259,32454,0.127
RobotBattleLearningBrain,4.610,10150.305,9.454,32524,0.127
RobotBattleLearningBrain,4.494,10164.792,9.283,32524,0.127
RobotBattleLearningBrain,4.548,10179.238,9.196,32432,0.127
RobotBattleLearningBrain,4.483,10195.287,10.861,32524,0.127
RobotBattleLearningBrain,4.429,10209.514,9.101,32454,0.127
RobotBattleLearningBrain,4.501,10223.868,9.156,32524,0.127
RobotBattleLearningBrain,4.537,10238.285,9.174,32428,0.127
RobotBattleLearningBrain,4.438,10253.200,9.776,32522,0.127
RobotBattleLearningBrain,4.425,10267.478,9.150,32524,0.127
RobotBattleLearningBrain,4.427,10281.719,9.108,32452,0.127
RobotBattleLearningBrain,4.422,10295.976,9.137,32540,0.127
RobotBattleLearningBrain,4.475,10310.476,9.318,32510,0.127
RobotBattleLearningBrain,4.602,10324.944,9.173,32388,0.127
RobotBattleLearningBrain,4.528,10339.597,9.410,32522,0.127
RobotBattleLearningBrain,4.465,10357.083,12.315,32522,0.126
RobotBattleLearningBrain,4.431,10371.293,9.094,32396,0.126
RobotBattleLearningBrain,4.460,10385.813,9.349,32522,0.126
RobotBattleLearningBrain,4.391,10400.036,9.138,32516,0.126
RobotBattleLearningBrain,4.415,10414.327,9.182,32522,0.126
RobotBattleLearningBrain,4.391,10428.445,9.042,32484,0.126
RobotBattleLearningBrain,4.413,10442.678,9.119,32394,0.126
RobotBattleLearningBrain,4.405,10456.882,9.103,32526,0.126
RobotBattleLearningBrain,4.401,10471.292,9.286,32520,0.126
RobotBattleLearningBrain,4.433,10485.692,9.247,32520,0.126
RobotBattleLearningBrain,4.460,10499.969,9.108,32450,0.126
RobotBattleLearningBrain,4.521,10515.612,10.408,32526,0.126
RobotBattleLearningBrain,4.504,10530.115,9.272,32522,0.126
RobotBattleLearningBrain,4.476,10544.582,9.274,32396,0.126
RobotBattleLearningBrain,4.566,10559.088,9.230,32526,0.126
RobotBattleLearningBrain,4.404,10573.292,9.098,32522,0.126
RobotBattleLearningBrain,4.394,10587.539,9.155,32454,0.126
RobotBattleLearningBrain,4.461,10601.920,9.209,32560,0.126
RobotBattleLearningBrain,4.531,10616.887,9.734,32390,0.126
RobotBattleLearningBrain,4.528,10631.348,9.221,32526,0.126
RobotBattleLearningBrain,4.635,10645.806,9.112,32524,0.126
RobotBattleLearningBrain,4.428,10660.218,9.263,32392,0.126
RobotBattleLearningBrain,6.288,10680.720,13.241,32520,0.126
RobotBattleLearningBrain,4.549,10695.602,9.592,32520,0.126
RobotBattleLearningBrain,4.508,10710.053,9.224,32522,0.126
RobotBattleLearningBrain,4.497,10724.447,9.191,32450,0.126
RobotBattleLearningBrain,4.480,10738.783,9.159,32430,0.126
RobotBattleLearningBrain,4.507,10753.149,9.164,32620,0.126
RobotBattleLearningBrain,4.447,10767.408,9.134,32426,0.126
RobotBattleLearningBrain,4.542,10781.826,9.175,32520,0.126
RobotBattleLearningBrain,4.470,10796.031,9.047,32484,0.126
RobotBattleLearningBrain,4.481,10810.314,9.108,32390,0.125
RobotBattleLearningBrain,4.508,10824.640,9.125,32520,0.125
RobotBattleLearningBrain,4.512,10839.088,9.227,32518,0.125
RobotBattleLearningBrain,4.480,10853.430,9.155,32526,0.125
RobotBattleLearningBrain,6.733,10870.050,9.183,32486,0.125
RobotBattleLearningBrain,4.451,10885.458,10.166,32396,0.125
RobotBattleLearningBrain,4.539,10900.885,10.097,32522,0.125
RobotBattleLearningBrain,4.436,10915.111,9.095,32522,0.125
RobotBattleLearningBrain,6.302,10932.102,9.952,32520,0.125
RobotBattleLearningBrain,4.501,10949.280,11.767,32452,0.125
RobotBattleLearningBrain,4.736,10964.863,10.042,32526,0.125
RobotBattleLearningBrain,5.089,10980.990,10.213,32520,0.125
RobotBattleLearningBrain,5.128,10996.464,9.386,32396,0.125
RobotBattleLearningBrain,5.476,11012.975,10.286,32556,0.125
RobotBattleLearningBrain,4.476,11028.109,9.920,32486,0.125
RobotBattleLearningBrain,4.530,11042.610,9.265,32412,0.125
RobotBattleLearningBrain,5.594,11058.347,9.418,32568,0.125
RobotBattleLearningBrain,4.746,11077.890,13.736,32432,0.125
RobotBattleLearningBrain,4.553,11092.616,9.432,32558,0.125
RobotBattleLearningBrain,4.655,11107.490,9.484,32450,0.125
RobotBattleLearningBrain,4.971,11122.471,9.293,32432,0.125
RobotBattleLearningBrain,4.849,11138.050,9.961,32526,0.125
RobotBattleLearningBrain,4.963,11153.227,9.479,32524,0.125
RobotBattleLearningBrain,5.108,11169.104,9.991,32522,0.125
RobotBattleLearningBrain,5.369,11187.785,12.508,32452,0.125
RobotBattleLearningBrain,4.643,11203.058,9.878,32524,0.125
RobotBattleLearningBrain,5.165,11218.236,9.293,32430,0.125
RobotBattleLearningBrain,4.596,11233.122,9.565,32486,0.125
RobotBattleLearningBrain,4.674,11247.879,9.363,32524,0.125
RobotBattleLearningBrain,4.496,11262.331,9.243,32522,0.125
RobotBattleLearningBrain,4.485,11276.681,9.177,32396,0.125
RobotBattleLearningBrain,4.577,11291.632,9.657,32618,0.125
RobotBattleLearningBrain,4.906,11306.697,9.425,32396,0.125
RobotBattleLearningBrain,4.552,11321.510,9.534,32556,0.125
RobotBattleLearningBrain,4.752,11336.310,9.319,32488,0.125
RobotBattleLearningBrain,4.584,11351.027,9.406,32418,0.125
RobotBattleLearningBrain,4.514,11365.481,9.232,32538,0.125
RobotBattleLearningBrain,4.564,11380.059,9.306,32542,0.125
RobotBattleLearningBrain,4.636,11394.660,9.254,32466,0.125
RobotBattleLearningBrain,4.712,11409.419,9.321,32452,0.125
RobotBattleLearningBrain,4.612,11423.982,9.241,32526,0.125
RobotBattleLearningBrain,4.520,11438.424,9.218,32478,0.125
RobotBattleLearningBrain,4.693,11453.299,9.456,32466,0.125
RobotBattleLearningBrain,4.684,11469.247,10.476,32494,0.125
RobotBattleLearningBrain,4.583,11483.943,9.395,32524,0.125
RobotBattleLearningBrain,4.614,11499.390,10.108,32484,0.125
RobotBattleLearningBrain,4.658,11514.240,9.469,32428,0.125
RobotBattleLearningBrain,4.633,11529.211,9.601,32520,0.125
RobotBattleLearningBrain,4.507,11544.382,9.906,32490,0.125
RobotBattleLearningBrain,4.547,11559.038,9.381,32522,0.125
RobotBattleLearningBrain,4.500,11573.504,9.257,32452,0.125
RobotBattleLearningBrain,4.828,11588.391,9.336,32562,0.125
RobotBattleLearningBrain,4.471,11602.980,9.391,32390,0.125
RobotBattleLearningBrain,4.558,11617.525,9.276,32550,0.125
RobotBattleLearningBrain,4.719,11632.372,9.403,32496,0.125
RobotBattleLearningBrain,4.568,11647.076,9.412,32396,0.125
RobotBattleLearningBrain,4.512,11662.677,10.376,32524,0.125
RobotBattleLearningBrain,4.511,11677.173,9.267,32522,0.125
RobotBattleLearningBrain,4.579,11691.740,9.266,32526,0.125
RobotBattleLearningBrain,4.545,11706.223,9.228,32490,0.125
RobotBattleLearningBrain,4.546,11720.699,9.227,32394,0.125
RobotBattleLearningBrain,4.532,11735.210,9.271,32524,0.125
RobotBattleLearningBrain,4.566,11749.811,9.316,32520,0.125
RobotBattleLearningBrain,6.822,11767.676,10.281,32524,0.125
RobotBattleLearningBrain,4.443,11782.130,9.304,32486,0.125
RobotBattleLearningBrain,4.536,11796.708,9.321,32390,0.125
RobotBattleLearningBrain,6.425,11816.283,12.343,32524,0.125
RobotBattleLearningBrain,5.523,11837.175,14.273,32488,0.125
RobotBattleLearningBrain,6.416,11855.522,11.079,32558,0.125
RobotBattleLearningBrain,5.565,11873.613,11.631,32486,0.125
RobotBattleLearningBrain,5.973,11891.422,10.972,32394,0.126
RobotBattleLearningBrain,5.674,11910.617,12.543,32524,0.126
RobotBattleLearningBrain,5.109,11928.767,12.100,32486,0.125
RobotBattleLearningBrain,5.059,11944.699,10.091,32560,0.125
RobotBattleLearningBrain,5.209,11962.217,11.419,32512,0.126
RobotBattleLearningBrain,6.128,11981.458,12.169,32470,0.126
RobotBattleLearningBrain,4.752,11997.244,10.291,32496,0.126
RobotBattleLearningBrain,4.700,12014.333,11.487,32516,0.126
RobotBattleLearningBrain,4.553,12029.145,9.525,32418,0.126
RobotBattleLearningBrain,4.561,12044.411,9.939,32542,0.126
RobotBattleLearningBrain,4.479,12058.874,9.266,32396,0.126
RobotBattleLearningBrain,4.463,12073.232,9.198,32530,0.126
RobotBattleLearningBrain,4.644,12092.438,13.428,32486,0.126
RobotBattleLearningBrain,5.194,12108.980,10.516,32572,0.126
RobotBattleLearningBrain,5.899,12127.139,11.368,32442,0.126
RobotBattleLearningBrain,5.311,12144.585,11.251,32524,0.126
RobotBattleLearningBrain,5.046,12163.157,12.522,32432,0.126
RobotBattleLearningBrain,5.051,12180.484,11.438,32522,0.126
RobotBattleLearningBrain,5.004,12198.306,11.851,32492,0.126
RobotBattleLearningBrain,5.245,12215.186,10.592,32524,0.126
